target,class,count,ratio,majority_to_minority_ratio
cooler_condition,3,732,0.33197278911564626,1.0122950819672132
cooler_condition,20,732,0.33197278911564626,1.0122950819672132
cooler_condition,100,741,0.3360544217687075,1.0122950819672132
hydraulic_accumulator,90,808,0.36643990929705217,2.025062656641604
hydraulic_accumulator,100,399,0.18095238095238095,2.025062656641604
hydraulic_accumulator,115,399,0.18095238095238095,2.025062656641604
hydraulic_accumulator,130,599,0.27165532879818594,2.025062656641604
internal_pump_leakage,0,1221,0.5537414965986395,2.481707317073171
internal_pump_leakage,1,492,0.22312925170068026,2.481707317073171
internal_pump_leakage,2,492,0.22312925170068026,2.481707317073171
stable_flag,0,1449,0.6571428571428571,1.9166666666666667
stable_flag,1,756,0.34285714285714286,1.9166666666666667
valve_condition,73,360,0.16326530612244897,3.125
valve_condition,80,360,0.16326530612244897,3.125
valve_condition,90,360,0.16326530612244897,3.125
valve_condition,100,1125,0.5102040816326531,3.125
